,Tweet,Sarcasm (yes/no)
3860,the meal are genuinely amazing.,no
3861,artists have always been great.,no
3862,"Oh great, another doctors. Just what I needed.",yes
3863,Can't wait for more of writers.,no
3864,I just love when athletes happens.,yes
3865,the meal are genuinely amazing.,no
3866,I am always excited for this book.,no
3867,"Everyone loves the concert, right?",yes
3868,I just love when my new phone happens.,yes
3869,writers are genuinely amazing.,no
3870,Can't wait for more of scientists.,yes
3871,I genuinely love the meal.,no
3872,I am always excited for the concert.,no
3873,Had a great time with the conference.,no
3874,I find this movie to be wonderful.,no
3875,I just love when musicians happens.,yes
3876,I just love when doctors happens.,yes
3877,"Oh great, another scientists. Just what I needed.",yes
3878,musicians are truly inspiring.,no
3879,"my new phone are so wonderful, said no one ever.",yes
3880,"Everyone loves this book, right?",yes
3881,"Everyone loves doctors, right?",yes
3882,Had a great time with this movie.,no
3883,"Had a this movie, best experience ever. Not.",yes
3884,Because athletes really make everything better.,yes
3885,I find this book to be wonderful.,no
3886,I just love when the concert happens.,yes
3887,Had a great time with this movie.,no
3888,I just love when doctors happens.,yes
3889,"scientists are so wonderful, said no one ever.",yes
3890,"Oh great, another musicians. Just what I needed.",yes
3891,I genuinely love artists.,no
3892,Had a great time with the workshop.,no
3893,Because writers really make everything better.,yes
3894,"Oh great, another musicians. Just what I needed.",yes
3895,Can't wait for more of the meal.,no
3896,the meal are genuinely amazing.,no
3897,Because athletes really make everything better.,yes
3898,Because the workshop really make everything better.,yes
3899,I just love when musicians happens.,yes
3900,Can't wait for more of the workshop.,yes
3901,"this movie are so wonderful, said no one ever.",yes
3902,I am always excited for scientists.,no
3903,"Had a writers, best experience ever. Not.",yes
3904,Can't wait for more of musicians.,no
3905,Can't wait for more of scientists.,yes
3906,Nothing better than a this movie moment.,yes
3907,Because athletes really make everything better.,yes
3908,Nothing better than a athletes moment.,yes
3909,"the workshop are so wonderful, said no one ever.",yes
3910,"Everyone loves the workshop, right?",yes
3911,I am always excited for artists.,no
3912,this book are genuinely amazing.,no
3913,Because musicians really make everything better.,yes
3914,I genuinely love vegetarians.,no
3915,the conference have always been great.,no
3916,vegetarians are truly inspiring.,no
3917,"Had a the workshop, best experience ever. Not.",yes
3918,Because engineers really make everything better.,yes
3919,I just love when my new phone happens.,yes
3920,"Had a the meal, best experience ever. Not.",yes
3921,"Had a athletes, best experience ever. Not.",yes
3922,I find the conference to be wonderful.,no
3923,the meal are genuinely amazing.,no
3924,"vegetarians are so wonderful, said no one ever.",yes
3925,scientists are truly inspiring.,no
3926,artists have always been great.,no
3927,doctors are genuinely amazing.,no
3928,"Everyone loves artists, right?",yes
3929,Nothing better than a my new phone moment.,yes
3930,Because writers really make everything better.,yes
3931,"Oh great, another scientists. Just what I needed.",yes
3932,"Oh great, another the workshop. Just what I needed.",yes
3933,"Had a the workshop, best experience ever. Not.",yes
3934,Can't wait for more of the meal.,no
3935,"Everyone loves the workshop, right?",yes
3936,Can't wait for more of the meal.,yes
3937,"Everyone loves the conference, right?",yes
3938,Because vegetarians really make everything better.,yes
3939,Can't wait for more of the workshop.,no
3940,Had a great time with the concert.,no
3941,I find the concert to be wonderful.,no
3942,writers are genuinely amazing.,no
3943,"Had a writers, best experience ever. Not.",yes
3944,this book are truly inspiring.,no
3945,Had a great time with athletes.,no
3946,"Everyone loves writers, right?",yes
3947,"Everyone loves vegetarians, right?",yes
3948,Because vegetarians really make everything better.,yes
3949,I genuinely love the workshop.,no
3950,Nothing better than a the meal moment.,yes
3951,Because engineers really make everything better.,yes
3952,the concert are truly inspiring.,no
3953,Can't wait for more of doctors.,no
3954,I am always excited for the game.,no
3955,Can't wait for more of doctors.,no
3956,Can't wait for more of scientists.,no
3957,Nothing better than a vegetarians moment.,yes
3958,I am always excited for my new phone.,no
3959,"Oh great, another engineers. Just what I needed.",yes
3960,"Had a musicians, best experience ever. Not.",yes
3961,"the concert are so wonderful, said no one ever.",yes
3962,I genuinely love the meal.,no
3963,"Had a artists, best experience ever. Not.",yes
3964,Can't wait for more of doctors.,no
3965,vegetarians are genuinely amazing.,no
3966,doctors are genuinely amazing.,no
3967,Because my new phone really make everything better.,yes
3968,athletes are truly inspiring.,no
3969,I genuinely love scientists.,no
3970,the workshop have always been great.,no
3971,musicians are genuinely amazing.,no
3972,Can't wait for more of athletes.,no
3973,I am always excited for the meal.,no
3974,"Had a engineers, best experience ever. Not.",yes
3975,my new phone have always been great.,no
3976,Because this movie really make everything better.,yes
3977,Can't wait for more of the conference.,no
3978,"Had a musicians, best experience ever. Not.",yes
3979,Can't wait for more of the meal.,no
3980,I just love when vegetarians happens.,yes
3981,Can't wait for more of vegetarians.,yes
3982,I find scientists to be wonderful.,no
3983,"athletes are so wonderful, said no one ever.",yes
3984,Can't wait for more of my new phone.,yes
3985,Had a great time with engineers.,no
3986,I genuinely love the concert.,no
3987,"Had a vegetarians, best experience ever. Not.",yes
3988,I find scientists to be wonderful.,no
3989,"Everyone loves musicians, right?",yes
3990,"Everyone loves scientists, right?",yes
3991,Had a great time with vegetarians.,no
3992,"Everyone loves the concert, right?",yes
3993,"Oh great, another this book. Just what I needed.",yes
3994,Because athletes really make everything better.,yes
3995,scientists are genuinely amazing.,no
3996,vegetarians are truly inspiring.,no
3997,I find athletes to be wonderful.,no
3998,I find vegetarians to be wonderful.,no
3999,Because athletes really make everything better.,yes
4000,I find engineers to be wonderful.,no
4001,writers are genuinely amazing.,no
4002,Had a great time with this movie.,no
4003,Had a great time with the meal.,no
4004,vegetarians are truly inspiring.,no
4005,I find my new phone to be wonderful.,no
4006,"Oh great, another the concert. Just what I needed.",yes
4007,scientists are truly inspiring.,no
4008,"engineers are so wonderful, said no one ever.",yes
4009,Had a great time with the workshop.,no
4010,I genuinely love my new phone.,no
4011,"Had a this movie, best experience ever. Not.",yes
4012,"Everyone loves the meal, right?",yes
4013,Can't wait for more of musicians.,no
4014,I just love when artists happens.,yes
4015,Nothing better than a athletes moment.,yes
4016,I just love when the game happens.,yes
4017,athletes are genuinely amazing.,no
4018,Can't wait for more of vegetarians.,no
4019,artists are truly inspiring.,no
4020,scientists have always been great.,no
4021,"Oh great, another the conference. Just what I needed.",yes
4022,I find scientists to be wonderful.,no
4023,Can't wait for more of the meal.,no
4024,Can't wait for more of the concert.,no
4025,I genuinely love doctors.,no
4026,Can't wait for more of the conference.,no
4027,athletes have always been great.,no
4028,I genuinely love the conference.,no
4029,the game have always been great.,no
4030,"Had a the game, best experience ever. Not.",yes
4031,scientists are truly inspiring.,no
4032,I find this movie to be wonderful.,no
4033,Can't wait for more of doctors.,no
4034,Nothing better than a this movie moment.,yes
4035,Had a great time with my new phone.,no
4036,Because the conference really make everything better.,yes
4037,Can't wait for more of the conference.,no
4038,I genuinely love this movie.,no
4039,Had a great time with engineers.,no
4040,Because the game really make everything better.,yes
4041,I find the game to be wonderful.,no
4042,"Oh great, another the game. Just what I needed.",yes
4043,Can't wait for more of this book.,no
4044,I genuinely love the concert.,no
4045,Can't wait for more of doctors.,yes
4046,vegetarians are genuinely amazing.,no
4047,I genuinely love this movie.,no
4048,Had a great time with engineers.,no
4049,Nothing better than a vegetarians moment.,yes
4050,"Everyone loves engineers, right?",yes
4051,"Oh great, another athletes. Just what I needed.",yes
4052,I just love when athletes happens.,yes
4053,I find the conference to be wonderful.,no
4054,the game are genuinely amazing.,no
4055,"the workshop are so wonderful, said no one ever.",yes
4056,Can't wait for more of this book.,yes
4057,Can't wait for more of vegetarians.,no
4058,my new phone are genuinely amazing.,no
4059,musicians have always been great.,no
4060,"Oh great, another the concert. Just what I needed.",yes
4061,Because athletes really make everything better.,yes
4062,Can't wait for more of the conference.,no
4063,writers have always been great.,no
4064,"Oh great, another the game. Just what I needed.",yes
4065,"Everyone loves the meal, right?",yes
4066,"the game are so wonderful, said no one ever.",yes
4067,I genuinely love musicians.,no
4068,I just love when the concert happens.,yes
4069,I just love when engineers happens.,yes
4070,I find athletes to be wonderful.,no
4071,I find the game to be wonderful.,no
4072,my new phone are truly inspiring.,no
4073,"Oh great, another artists. Just what I needed.",yes
4074,Nothing better than a my new phone moment.,yes
4075,I am always excited for vegetarians.,no
4076,"Everyone loves vegetarians, right?",yes
4077,Nothing better than a the meal moment.,yes
4078,Nothing better than a the concert moment.,yes
4079,Can't wait for more of artists.,no
4080,Can't wait for more of my new phone.,no
4081,I am always excited for writers.,no
4082,the meal are genuinely amazing.,no
4083,Can't wait for more of the concert.,no
4084,Can't wait for more of engineers.,no
4085,I am always excited for vegetarians.,no
4086,I genuinely love the concert.,no
4087,I am always excited for the concert.,no
4088,Because writers really make everything better.,yes
4089,"the game are so wonderful, said no one ever.",yes
4090,Because the conference really make everything better.,yes
4091,my new phone have always been great.,no
4092,"Everyone loves athletes, right?",yes
4093,Because my new phone really make everything better.,yes
4094,"Oh great, another my new phone. Just what I needed.",yes
4095,Because doctors really make everything better.,yes
4096,I am always excited for my new phone.,no
4097,I just love when writers happens.,yes
4098,the concert have always been great.,no
4099,"Oh great, another vegetarians. Just what I needed.",yes
4100,Can't wait for more of artists.,yes
4101,Can't wait for more of the concert.,yes
4102,the concert are genuinely amazing.,no
4103,I am always excited for athletes.,no
4104,scientists are truly inspiring.,no
4105,writers are genuinely amazing.,no
4106,I genuinely love scientists.,no
4107,Because the conference really make everything better.,yes
4108,"Oh great, another engineers. Just what I needed.",yes
4109,I genuinely love musicians.,no
4110,"Everyone loves the concert, right?",yes
4111,Can't wait for more of my new phone.,no
4112,I genuinely love this book.,no
4113,"Oh great, another the meal. Just what I needed.",yes
4114,Because my new phone really make everything better.,yes
4115,I find the conference to be wonderful.,no
4116,I am always excited for musicians.,no
4117,I genuinely love artists.,no
4118,Nothing better than a musicians moment.,yes
4119,doctors are truly inspiring.,no
4120,"the meal are so wonderful, said no one ever.",yes
4121,Can't wait for more of engineers.,no
4122,writers are truly inspiring.,no
4123,Had a great time with vegetarians.,no
4124,Nothing better than a musicians moment.,yes
4125,I genuinely love doctors.,no
4126,my new phone are truly inspiring.,no
4127,"the workshop are so wonderful, said no one ever.",yes
4128,"Oh great, another this book. Just what I needed.",yes
4129,Can't wait for more of the game.,no
4130,athletes are genuinely amazing.,no
4131,I just love when the game happens.,yes
4132,Can't wait for more of the meal.,yes
4133,Had a great time with this book.,no
4134,I find the concert to be wonderful.,no
4135,vegetarians are genuinely amazing.,no
4136,Can't wait for more of scientists.,yes
4137,Had a great time with writers.,no
4138,Can't wait for more of vegetarians.,yes
4139,"Everyone loves the meal, right?",yes
4140,Because musicians really make everything better.,yes
4141,Had a great time with this book.,no
4142,Had a great time with the game.,no
4143,"my new phone are so wonderful, said no one ever.",yes
4144,"Had a my new phone, best experience ever. Not.",yes
4145,the game are genuinely amazing.,no
4146,"Everyone loves scientists, right?",yes
4147,I am always excited for the meal.,no
4148,I am always excited for engineers.,no
4149,Can't wait for more of artists.,no
4150,I just love when this movie happens.,yes
4151,scientists are genuinely amazing.,no
4152,engineers are truly inspiring.,no
4153,I genuinely love the workshop.,no
4154,Nothing better than a artists moment.,yes
4155,artists are genuinely amazing.,no
4156,I find the meal to be wonderful.,no
4157,I just love when the game happens.,yes
4158,I genuinely love artists.,no
4159,I find doctors to be wonderful.,no
4160,"Everyone loves the game, right?",yes
4161,Nothing better than a athletes moment.,yes
4162,Because musicians really make everything better.,yes
4163,I just love when engineers happens.,yes
4164,I genuinely love the workshop.,no
4165,"Everyone loves my new phone, right?",yes
4166,"Oh great, another artists. Just what I needed.",yes
4167,Can't wait for more of scientists.,yes
4168,"artists are so wonderful, said no one ever.",yes
4169,Had a great time with athletes.,no
4170,"Oh great, another the conference. Just what I needed.",yes
4171,I am always excited for athletes.,no
4172,Nothing better than a the meal moment.,yes
4173,the meal are truly inspiring.,no
4174,"vegetarians are so wonderful, said no one ever.",yes
4175,"Oh great, another the conference. Just what I needed.",yes
4176,the concert have always been great.,no
4177,Can't wait for more of the workshop.,no
4178,I genuinely love the game.,no
4179,I find artists to be wonderful.,no
4180,scientists are truly inspiring.,no
4181,I just love when scientists happens.,yes
4182,I am always excited for athletes.,no
4183,my new phone are genuinely amazing.,no
4184,Can't wait for more of scientists.,no
4185,I just love when this book happens.,yes
4186,Can't wait for more of the game.,yes
4187,"Had a engineers, best experience ever. Not.",yes
4188,I just love when doctors happens.,yes
4189,I just love when my new phone happens.,yes
4190,"athletes are so wonderful, said no one ever.",yes
4191,I find the meal to be wonderful.,no
4192,Can't wait for more of engineers.,no
4193,the conference are truly inspiring.,no
4194,I genuinely love my new phone.,no
4195,"Everyone loves engineers, right?",yes
4196,my new phone are genuinely amazing.,no
4197,"Had a the conference, best experience ever. Not.",yes
4198,I am always excited for my new phone.,no
4199,Had a great time with athletes.,no
4200,the workshop have always been great.,no
4201,I find the conference to be wonderful.,no
4202,I am always excited for my new phone.,no
4203,Because the workshop really make everything better.,yes
4204,Can't wait for more of doctors.,no
4205,I find the concert to be wonderful.,no
4206,Can't wait for more of the workshop.,yes
4207,Had a great time with the concert.,no
4208,Can't wait for more of the conference.,yes
4209,I am always excited for artists.,no
4210,this book are genuinely amazing.,no
4211,I genuinely love the workshop.,no
4212,the game are genuinely amazing.,no
4213,athletes have always been great.,no
4214,Because scientists really make everything better.,yes
4215,I just love when the meal happens.,yes
4216,I find scientists to be wonderful.,no
4217,Because the concert really make everything better.,yes
4218,my new phone are truly inspiring.,no
4219,"engineers are so wonderful, said no one ever.",yes
4220,"Had a vegetarians, best experience ever. Not.",yes
4221,Can't wait for more of the conference.,no
4222,"Had a my new phone, best experience ever. Not.",yes
4223,I find musicians to be wonderful.,no
4224,"Everyone loves athletes, right?",yes
4225,the concert have always been great.,no
4226,I just love when artists happens.,yes
4227,the meal are truly inspiring.,no
4228,"this book are so wonderful, said no one ever.",yes
4229,"Oh great, another the conference. Just what I needed.",yes
4230,artists are truly inspiring.,no
4231,"Oh great, another writers. Just what I needed.",yes
4232,Because the meal really make everything better.,yes
4233,I just love when vegetarians happens.,yes
4234,the conference have always been great.,no
4235,my new phone are truly inspiring.,no
4236,I just love when the meal happens.,yes
4237,I genuinely love doctors.,no
4238,vegetarians have always been great.,no
4239,"Had a this movie, best experience ever. Not.",yes
4240,"Everyone loves athletes, right?",yes
4241,"the concert are so wonderful, said no one ever.",yes
4242,"Everyone loves my new phone, right?",yes
4243,I genuinely love athletes.,no
4244,Had a great time with vegetarians.,no
4245,I am always excited for athletes.,no
4246,Had a great time with vegetarians.,no
4247,Nothing better than a engineers moment.,yes
4248,Can't wait for more of athletes.,no
4249,"the concert are so wonderful, said no one ever.",yes
4250,Can't wait for more of doctors.,yes
4251,the game are truly inspiring.,no
4252,I genuinely love the concert.,no
4253,my new phone have always been great.,no
4254,"Had a the meal, best experience ever. Not.",yes
4255,Can't wait for more of musicians.,yes
4256,scientists are genuinely amazing.,no
4257,Because the concert really make everything better.,yes
4258,I am always excited for the workshop.,no
4259,Can't wait for more of this book.,yes
4260,"Everyone loves this book, right?",yes
4261,"athletes are so wonderful, said no one ever.",yes
4262,Because doctors really make everything better.,yes
4263,Because athletes really make everything better.,yes
4264,I just love when vegetarians happens.,yes
4265,I find the concert to be wonderful.,no
4266,I genuinely love the game.,no
4267,I am always excited for the game.,no
4268,artists are genuinely amazing.,no
4269,I just love when the meal happens.,yes
4270,Can't wait for more of vegetarians.,yes
4271,Can't wait for more of scientists.,yes
4272,Can't wait for more of engineers.,no
4273,Nothing better than a the workshop moment.,yes
4274,Can't wait for more of the meal.,yes
4275,my new phone are genuinely amazing.,no
4276,"Had a my new phone, best experience ever. Not.",yes
4277,I just love when my new phone happens.,yes
4278,this book are genuinely amazing.,no
4279,Had a great time with the meal.,no
4280,Had a great time with artists.,no
4281,"Oh great, another vegetarians. Just what I needed.",yes
4282,engineers have always been great.,no
4283,Had a great time with writers.,no
4284,the conference are genuinely amazing.,no
4285,the conference are genuinely amazing.,no
4286,Had a great time with scientists.,no
4287,"Oh great, another artists. Just what I needed.",yes
4288,this movie are truly inspiring.,no
4289,Because artists really make everything better.,yes
4290,"Had a scientists, best experience ever. Not.",yes
4291,"Everyone loves scientists, right?",yes
4292,"Everyone loves musicians, right?",yes
4293,vegetarians are genuinely amazing.,no
4294,Can't wait for more of engineers.,no
4295,Nothing better than a artists moment.,yes
4296,doctors are truly inspiring.,no
4297,"engineers are so wonderful, said no one ever.",yes
4298,artists are genuinely amazing.,no
4299,I genuinely love the conference.,no
4300,Because the conference really make everything better.,yes
4301,Because this book really make everything better.,yes
4302,"the workshop are so wonderful, said no one ever.",yes
4303,I just love when scientists happens.,yes
4304,Can't wait for more of this movie.,yes
4305,"Oh great, another vegetarians. Just what I needed.",yes
4306,Because this book really make everything better.,yes
4307,"Oh great, another artists. Just what I needed.",yes
4308,Had a great time with vegetarians.,no
4309,Can't wait for more of writers.,no
4310,I am always excited for scientists.,no
4311,I am always excited for engineers.,no
4312,Nothing better than a my new phone moment.,yes
4313,the game have always been great.,no
4314,athletes are genuinely amazing.,no
4315,I genuinely love the concert.,no
4316,Had a great time with the meal.,no
4317,I genuinely love athletes.,no
4318,I am always excited for the concert.,no
4319,I find the meal to be wonderful.,no
4320,"Everyone loves artists, right?",yes
4321,athletes are genuinely amazing.,no
4322,vegetarians are truly inspiring.,no
4323,Can't wait for more of the meal.,no
4324,Can't wait for more of the meal.,no
4325,"Everyone loves doctors, right?",yes
4326,Had a great time with the workshop.,no
4327,Can't wait for more of writers.,no
4328,Because athletes really make everything better.,yes
4329,"Everyone loves the workshop, right?",yes
4330,I find musicians to be wonderful.,no
4331,Nothing better than a artists moment.,yes
4332,Had a great time with doctors.,no
4333,"Had a scientists, best experience ever. Not.",yes
4334,I find the game to be wonderful.,no
4335,"Everyone loves the workshop, right?",yes
4336,Can't wait for more of this book.,yes
4337,I genuinely love athletes.,no
4338,"the game are so wonderful, said no one ever.",yes
4339,Can't wait for more of engineers.,yes
4340,"Everyone loves the game, right?",yes
4341,Had a great time with the workshop.,no
4342,"Oh great, another my new phone. Just what I needed.",yes
4343,I genuinely love this movie.,no
4344,Can't wait for more of the workshop.,yes
4345,"my new phone are so wonderful, said no one ever.",yes
4346,I genuinely love the game.,no
4347,Nothing better than a the conference moment.,yes
4348,Can't wait for more of doctors.,no
4349,I am always excited for the meal.,no
4350,Nothing better than a vegetarians moment.,yes
4351,Had a great time with writers.,no
4352,"the concert are so wonderful, said no one ever.",yes
4353,"Oh great, another writers. Just what I needed.",yes
4354,I am always excited for the meal.,no
4355,I am always excited for my new phone.,no
4356,I genuinely love vegetarians.,no
4357,"athletes are so wonderful, said no one ever.",yes
4358,the workshop are genuinely amazing.,no
4359,"Everyone loves doctors, right?",yes
4360,I find engineers to be wonderful.,no
4361,"Oh great, another this movie. Just what I needed.",yes
4362,vegetarians are truly inspiring.,no
4363,"Oh great, another this movie. Just what I needed.",yes
4364,my new phone are truly inspiring.,no
4365,Can't wait for more of my new phone.,yes
4366,Because the game really make everything better.,yes
4367,Because engineers really make everything better.,yes
4368,doctors have always been great.,no
4369,I find artists to be wonderful.,no
4370,I just love when the meal happens.,yes
4371,I find the meal to be wonderful.,no
4372,I am always excited for this movie.,no
4373,athletes are genuinely amazing.,no
4374,doctors are truly inspiring.,no
4375,the workshop have always been great.,no
4376,I am always excited for this book.,no
4377,Can't wait for more of engineers.,no
4378,Nothing better than a my new phone moment.,yes
4379,this movie are truly inspiring.,no
4380,I find scientists to be wonderful.,no
4381,I just love when doctors happens.,yes
4382,"Oh great, another the concert. Just what I needed.",yes
4383,"Everyone loves the workshop, right?",yes
4384,Had a great time with engineers.,no
4385,I am always excited for the concert.,no
4386,I just love when musicians happens.,yes
4387,"Had a the workshop, best experience ever. Not.",yes
4388,Because the concert really make everything better.,yes
4389,"Oh great, another artists. Just what I needed.",yes
4390,I genuinely love the meal.,no
4391,Because the meal really make everything better.,yes
4392,I find scientists to be wonderful.,no
4393,"Everyone loves the workshop, right?",yes
4394,I find vegetarians to be wonderful.,no
4395,"artists are so wonderful, said no one ever.",yes
4396,I find athletes to be wonderful.,no
4397,"the meal are so wonderful, said no one ever.",yes
4398,"scientists are so wonderful, said no one ever.",yes
4399,I just love when artists happens.,yes
4400,I genuinely love the concert.,no
4401,Can't wait for more of engineers.,no
4402,Can't wait for more of vegetarians.,no
4403,"the workshop are so wonderful, said no one ever.",yes
4404,"Oh great, another the concert. Just what I needed.",yes
4405,I genuinely love the game.,no
4406,my new phone have always been great.,no
4407,I am always excited for vegetarians.,no
4408,Can't wait for more of writers.,yes
4409,this movie are truly inspiring.,no
4410,Because engineers really make everything better.,yes
4411,I just love when the concert happens.,yes
4412,Can't wait for more of this book.,yes
4413,I find athletes to be wonderful.,no
4414,Had a great time with musicians.,no
4415,the conference have always been great.,no
4416,engineers have always been great.,no
4417,I genuinely love the game.,no
4418,I just love when the conference happens.,yes
4419,"Everyone loves engineers, right?",yes
4420,artists are genuinely amazing.,no
4421,"musicians are so wonderful, said no one ever.",yes
4422,"Oh great, another vegetarians. Just what I needed.",yes
4423,Can't wait for more of my new phone.,no
4424,Can't wait for more of doctors.,yes
4425,I genuinely love the meal.,no
4426,the game have always been great.,no
4427,I am always excited for this book.,no
4428,Can't wait for more of scientists.,yes
4429,artists have always been great.,no
4430,Can't wait for more of my new phone.,yes
4431,the concert have always been great.,no
4432,I genuinely love engineers.,no
4433,Can't wait for more of engineers.,yes
4434,Had a great time with musicians.,no
4435,Can't wait for more of musicians.,yes
4436,"the concert are so wonderful, said no one ever.",yes
4437,Had a great time with the conference.,no
4438,Nothing better than a the game moment.,yes
4439,"writers are so wonderful, said no one ever.",yes
4440,I genuinely love my new phone.,no
4441,doctors are truly inspiring.,no
4442,I am always excited for artists.,no
4443,I find the meal to be wonderful.,no
4444,I genuinely love engineers.,no
4445,the conference have always been great.,no
4446,"this book are so wonderful, said no one ever.",yes
4447,Can't wait for more of the game.,no
4448,"Had a this book, best experience ever. Not.",yes
4449,Nothing better than a my new phone moment.,yes
4450,Because this movie really make everything better.,yes
4451,I find the meal to be wonderful.,no
4452,writers are truly inspiring.,no
4453,I find this movie to be wonderful.,no
4454,I genuinely love this book.,no
4455,Can't wait for more of vegetarians.,no
4456,Can't wait for more of artists.,yes
4457,the concert have always been great.,no
4458,Can't wait for more of artists.,no
4459,Had a great time with engineers.,no
4460,Because the workshop really make everything better.,yes
4461,engineers have always been great.,no
4462,Can't wait for more of the conference.,yes
4463,the meal are genuinely amazing.,no
4464,Can't wait for more of this book.,no
4465,this movie are genuinely amazing.,no
4466,Nothing better than a scientists moment.,yes
4467,Nothing better than a doctors moment.,yes
4468,"Had a engineers, best experience ever. Not.",yes
4469,Nothing better than a the meal moment.,yes
4470,my new phone are truly inspiring.,no
4471,I just love when the game happens.,yes
4472,"engineers are so wonderful, said no one ever.",yes
4473,Can't wait for more of this movie.,yes
4474,Can't wait for more of doctors.,no
4475,Can't wait for more of the conference.,no
4476,Had a great time with scientists.,no
4477,doctors are truly inspiring.,no
4478,this movie have always been great.,no
4479,I just love when the game happens.,yes
4480,I just love when the game happens.,yes
4481,"doctors are so wonderful, said no one ever.",yes
4482,Nothing better than a vegetarians moment.,yes
4483,I just love when the meal happens.,yes
4484,Because this book really make everything better.,yes
4485,the conference are truly inspiring.,no
4486,I just love when scientists happens.,yes
4487,"Everyone loves this book, right?",yes
4488,Had a great time with engineers.,no
4489,I am always excited for the meal.,no
4490,"Had a the conference, best experience ever. Not.",yes
4491,"Had a my new phone, best experience ever. Not.",yes
4492,I just love when the workshop happens.,yes
4493,"Everyone loves engineers, right?",yes
4494,I just love when vegetarians happens.,yes
4495,Can't wait for more of athletes.,no
4496,I find scientists to be wonderful.,no
4497,athletes are genuinely amazing.,no
4498,Because writers really make everything better.,yes
4499,I just love when the workshop happens.,yes
4500,I genuinely love vegetarians.,no
4501,I find scientists to be wonderful.,no
4502,"the workshop are so wonderful, said no one ever.",yes
4503,the game are genuinely amazing.,no
4504,"the conference are so wonderful, said no one ever.",yes
4505,scientists are genuinely amazing.,no
4506,Because vegetarians really make everything better.,yes
4507,"Oh great, another musicians. Just what I needed.",yes
4508,vegetarians are genuinely amazing.,no
4509,I am always excited for the meal.,no
4510,"Had a doctors, best experience ever. Not.",yes
4511,I find this book to be wonderful.,no
4512,Can't wait for more of writers.,no
4513,"Everyone loves the concert, right?",yes
4514,"Had a musicians, best experience ever. Not.",yes
4515,Had a great time with artists.,no
4516,"Everyone loves artists, right?",yes
4517,I just love when engineers happens.,yes
4518,Had a great time with doctors.,no
4519,I genuinely love the meal.,no
4520,the concert are genuinely amazing.,no
4521,I just love when the meal happens.,yes
4522,I find the conference to be wonderful.,no
4523,this book are genuinely amazing.,no
4524,"Everyone loves athletes, right?",yes
4525,Can't wait for more of athletes.,yes
4526,I am always excited for this movie.,no
4527,Because engineers really make everything better.,yes
4528,Because the concert really make everything better.,yes
4529,Can't wait for more of writers.,no
4530,my new phone are genuinely amazing.,no
4531,I genuinely love engineers.,no
4532,musicians are genuinely amazing.,no
4533,"Oh great, another writers. Just what I needed.",yes
4534,Nothing better than a musicians moment.,yes
4535,Can't wait for more of my new phone.,yes
4536,Can't wait for more of athletes.,no
4537,I genuinely love the game.,no
4538,Can't wait for more of engineers.,yes
4539,"athletes are so wonderful, said no one ever.",yes
4540,"Everyone loves the game, right?",yes
4541,the concert are genuinely amazing.,no
4542,"Had a writers, best experience ever. Not.",yes
4543,engineers are truly inspiring.,no
4544,Because the game really make everything better.,yes
4545,Nothing better than a the workshop moment.,yes
4546,I am always excited for the concert.,no
4547,the conference are truly inspiring.,no
4548,"Oh great, another the meal. Just what I needed.",yes
4549,vegetarians have always been great.,no
4550,"Oh great, another the meal. Just what I needed.",yes
4551,Because doctors really make everything better.,yes
4552,Can't wait for more of this book.,yes
4553,"engineers are so wonderful, said no one ever.",yes
4554,"Had a musicians, best experience ever. Not.",yes
4555,Can't wait for more of artists.,yes
4556,"Had a the game, best experience ever. Not.",yes
4557,I genuinely love the conference.,no
4558,Can't wait for more of the meal.,yes
4559,engineers are truly inspiring.,no
4560,the concert have always been great.,no
4561,Had a great time with musicians.,no
4562,Can't wait for more of this movie.,yes
4563,vegetarians are truly inspiring.,no
4564,I genuinely love artists.,no
4565,I genuinely love musicians.,no
4566,this movie are genuinely amazing.,no
4567,Because the concert really make everything better.,yes
4568,Can't wait for more of artists.,no
4569,"Everyone loves the meal, right?",yes
4570,vegetarians are genuinely amazing.,no
4571,I am always excited for this book.,no
4572,the workshop have always been great.,no
4573,engineers have always been great.,no
4574,this book are truly inspiring.,no
4575,Nothing better than a engineers moment.,yes
4576,I find writers to be wonderful.,no
4577,"Oh great, another this book. Just what I needed.",yes
4578,"Had a doctors, best experience ever. Not.",yes
4579,I genuinely love scientists.,no
4580,"scientists are so wonderful, said no one ever.",yes
4581,"musicians are so wonderful, said no one ever.",yes
4582,I am always excited for artists.,no
4583,I genuinely love writers.,no
4584,I am always excited for the conference.,no
4585,I am always excited for musicians.,no
4586,I genuinely love doctors.,no
4587,Can't wait for more of my new phone.,yes
4588,I just love when the concert happens.,yes
4589,the conference are truly inspiring.,no
4590,Can't wait for more of this movie.,no
4591,Can't wait for more of artists.,yes
4592,I just love when musicians happens.,yes
4593,I am always excited for athletes.,no
4594,"Everyone loves artists, right?",yes
4595,I genuinely love athletes.,no
4596,I find my new phone to be wonderful.,no
4597,writers are genuinely amazing.,no
4598,I just love when this movie happens.,yes
4599,Nothing better than a engineers moment.,yes
4600,I genuinely love my new phone.,no
4601,Can't wait for more of doctors.,yes
4602,"Oh great, another my new phone. Just what I needed.",yes
4603,musicians are truly inspiring.,no
4604,artists are genuinely amazing.,no
4605,"Had a writers, best experience ever. Not.",yes
4606,doctors are truly inspiring.,no
4607,"Oh great, another engineers. Just what I needed.",yes
